,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
204,3,3,3,3,3,3,2,2
205,2,3,3,1,1,1,1,1
206,3,1,1,1,1,3,3,3
207,3,3,3,3,3,1,1,1
208,0,0,0,1,1,1,1,1
209,0,0,0,1,1,1,1,1
210,2,2,3,3,2,3,3,3
211,3,3,3,3,3,3,1,1
212,2,1,1,1,1,1,1,1
213,1,0,1,1,1,1,1,0
214,1,0,1,0,1,0,1,1
215,0,3,1,1,3,3,3,4
216,3,4,4,4,3,3,3,3
217,3,3,3,3,4,3,3,3
218,3,4,4,3,3,3,3,3
219,3,3,4,3,3,3,3,3
220,3,3,1,2,3,2,3,3
221,3,2,2,1,3,3,2,2
222,3,3,3,3,4,3,3,3
223,3,3,3,3,3,3,3,3
224,3,3,3,3,3,3,3,3
225,3,3,3,2,3,2,2,1
226,1,2,1,2,1,2,1,1
227,1,1,1,1,1,1,1,1
228,1,1,1,1,1,1,1,1
229,1,1,1,2,1,2,3,1
230,2,2,1,1,1,3,3,3
231,3,2,1,1,1,1,1,1
232,0,1,1,1,2,3,1,3
233,3,1,1,1,0,1,1,1
234,1,1,1,2,3,3,3,1
235,2,3,1,1,1,1,1,1
236,1,1,1,3,3,3,4,3
237,3,3,3,3,1,2,3,3
238,3,3,3,2,3,3,3,3
239,2,1,1,1,2,1,1,1
240,2,1,1,1,1,1,1,1
241,1,0,0,1,1,0,0,0
242,0,0,0,2,2,1,2,2
243,3,3,3,3,3,3,3,3
244,3,2,2,3,2,2,3,3
245,3,3,4,3,3,3,4,4
246,4,4,3,3,3,3,3,3
247,4,3,4,4,3,3,3,3
248,3,3,3,4,3,3,3,3
249,3,3,3,3,3,3,3,3
250,3,3,3,3,2,2,3,3
251,3,1,1,3,3,3,1,2
252,3,3,3,3,3,3,2,1
253,1,1,1,1,1,1,1,1
254,1,1,1,1,0,0,1,1
255,1,1,1,1,2,2,1,2
256,3,3,1,1,1,1,3,3
257,3,2,1,1,1,1,2,2
258,1,2,1,3,2,3,3,3
259,3,3,3,1,1,1,1,1
260,1,1,1,1,1,1,1,1
261,1,1,1,1,1,0,0,1
262,0,3,3,1,2,2,1,1
263,1,1,3,3,3,3,3,3
264,3,3,3,3,2,1,2,3
265,3,1,2,1,1,1,1,2
266,2,2,2,1,1,1,1,1
267,1,1,0,0,1,1,0,1
268,1,1,1,1,1,3,3,3
269,3,1,3,3,3,3,3,3
270,3,3,3,3,3,3,3,3
271,3,3,4,3,4,3,3,3
272,3,3,3,4,4,4,4,3
273,3,4,4,3,3,3,3,3
274,3,3,3,3,3,3,3,3
275,2,3,2,3,2,3,3,3
276,3,3,3,3,3,2,3,3
277,3,3,3,3,3,3,3,3
278,3,3,3,3,3,3,3,3
279,3,2,2,2,1,1,1,1
280,1,1,1,1,1,2,2,2
281,2,1,1,1,2,2,1,2
282,2,3,2,1,1,1,1,1
283,1,1,2,1,1,1,1,2
284,3,3,1,2,3,3,1,1
285,1,1,2,1,1,1,1,1
286,1,1,0,0,1,1,0,3
287,2,3,5,5,5,5,5,5
288,4,4,3,3,3,3,3,3
289,3,3,3,3,3,3,3,3
290,3,3,3,3,3,3,3,3
291,3,3,3,3,2,3,3,3
292,3,2,3,2,1,2,2,2
293,1,2,2,1,1,1,1,1
294,1,0,1,1,0,0,1,0
295,1,1,0,0,0,0,0,1
296,0,1,1,1,1,1,1,1
297,1,3,2,2,2,2,2,3
298,3,3,3,3,3,2,2,3
299,3,3,4,5,4,4,3,3
300,3,4,3,3,3,3,3,3
301,3,3,3,3,3,3,4,3
302,3,3,4,3,3,3,3,4
303,4,4,3,3,3,3,3,3
304,4,3,3,4,3,3,3,2
305,3,3,2,2,2,2,1,2
306,1,1,3,3,3,3,2,3
307,1,1,1,3,3,3,3,3
308,3,3,3,3,2,2,3,2
309,1,1,1,1,1,1,1,1
310,1,1,1,1,0,0,0,1
311,1,1,1,1,1,1,1,1
312,1,0,1,0,0,0,0,1
313,0,0,1,2,0,0,1,0
314,0,0,2,3,1,1,3,3
315,3,3,3,3,3,4,3,3
316,3,3,3,3,3,3,3,3
317,3,3,3,3,3,3,3,3
318,3,3,3,3,3,2,3,2
319,2,3,3,3,3,3,3,3
320,3,2,2,3,2,1,1,1
321,1,1,1,1,0,1,2,1
322,1,0,0,0,1,1,1,1
323,1,0,0,0,1,1,0,0
324,0,0,0,1,1,1,1,0
325,0,0,0,1,1,1,1,1
326,1,0,1,1,1,3,3,1
327,2,1,3,3,3,3,3,3
328,3,2,2,1,1,2,1,3
329,3,3,3,4,4,3,3,4
330,3,4,3,3,3,3,4,3
331,3,3,3,3,3,3,3,3
332,3,3,3,3,3,3,2,2
333,1,1,1,1,1,2,3,3
334,1,1,1,2,1,1,1,1
335,1,1,1,1,1,1,1,1
336,1,2,1,1,1,1,1,1
337,2,1,1,1,1,1,1,0
338,0,1,1,0,0,1,0,0
339,0,0,0,0,0,1,1,1
340,2,1,1,0,1,1,1,1
341,0,1,1,3,3,1,3,1
342,2,3,3,2,3,3,3,4
343,3,3,3,3,3,3,3,3
344,3,3,3,4,3,3,3,3
345,3,3,3,3,3,3,3,3
346,3,3,3,3,3,3,3,3
347,3,3,2,2,2,2,3,3
348,2,1,1,1,1,1,2,1
349,1,1,1,1,1,1,1,1
350,1,1,1,0,0,1,1,1
351,1,0,0,0,0,0,1,1
352,1,0,0,1,1,2,2,3
353,3,3,2,1,2,1,1,2
354,2,1,1,2,2,1,1,1
355,1,2,3,1,3,1,3,3
356,2,3,3,4,4,3,4,3
357,3,3,4,3,3,3,4,3
358,3,3,3,3,3,3,3,3
359,3,3,3,3,3,3,3,3
360,4,3,3,4,3,3,3,3
361,3,3,3,3,3,3,2,3
362,3,2,2,3,2,1,2,2
363,1,1,1,1,1,1,1,1
364,1,1,1,1,2,1,1,1
365,1,1,1,1,1,1,1,1
