,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
181,1,1,2,1,1,1,1,0
182,0,0,1,1,1,2,3,2
183,2,2,2,2,1,1,1,1
184,2,1,1,2,2,1,3,3
185,4,3,2,2,2,3,3,2
186,2,2,2,2,2,1,2,2
187,2,1,1,1,1,1,1,1
188,0,0,1,1,2,1,1,2
189,2,4,3,4,4,3,4,4
190,4,3,4,4,4,4,3,3
191,4,3,4,4,4,3,3,3
192,3,3,3,3,2,3,2,3
193,3,2,2,3,2,2,2,3
194,3,4,4,4,3,3,4,4
195,3,3,3,2,2,2,2,2
196,2,3,3,3,3,3,3,4
197,4,3,4,3,3,3,2,2
198,2,2,1,3,2,2,1,1
199,2,1,2,2,2,2,1,1
200,1,1,1,1,1,0,0,0
201,0,0,0,1,2,1,1,2
202,4,4,4,4,3,3,3,2
203,2,2,2,2,2,2,2,2
204,2,2,2,2,2,3,2,2
205,2,2,2,1,1,1,2,1
206,2,1,2,2,2,4,3,3
207,3,3,3,3,3,2,2,1
208,1,1,1,1,2,1,1,1
209,0,0,1,1,1,1,1,2
210,2,2,2,2,2,4,3,3
211,4,4,3,3,3,3,2,2
212,3,2,1,1,1,1,1,2
213,2,1,1,1,1,1,1,0
214,1,0,0,0,1,0,0,1
215,0,2,1,1,2,2,3,4
216,3,4,5,4,4,3,3,3
217,3,3,4,3,4,4,3,3
218,3,4,4,4,4,3,3,4
219,3,3,4,4,3,3,3,4
220,3,2,2,2,3,2,2,3
221,3,2,2,2,3,3,2,2
222,2,3,3,4,4,3,3,3
223,3,3,4,3,3,3,4,3
224,2,2,2,3,2,4,3,3
225,3,3,2,2,2,2,2,1
226,1,2,1,2,1,2,1,1
227,1,2,1,2,1,1,1,1
228,1,2,2,1,1,1,1,0
229,1,1,1,2,2,1,2,1
230,2,2,1,2,1,2,2,2
231,3,2,2,1,2,2,2,1
232,0,1,2,1,2,2,1,2
233,2,2,1,1,1,1,1,1
234,1,1,2,2,2,2,3,2
235,2,2,2,1,1,2,1,2
236,2,2,2,3,3,4,5,3
237,4,3,3,4,2,2,3,2
238,2,2,3,2,2,3,3,3
239,2,2,2,2,2,2,2,2
240,2,1,1,2,1,1,1,1
241,1,1,1,1,1,1,1,1
242,1,1,0,2,2,2,2,2
243,2,2,2,2,4,3,3,2
244,2,2,2,2,2,2,3,3
245,3,4,4,2,3,3,4,4
246,4,4,3,4,4,4,4,4
247,4,4,4,4,4,4,4,4
248,3,4,4,4,3,4,4,3
249,2,3,3,3,2,4,3,3
250,3,3,3,2,2,2,3,2
251,2,2,1,3,3,3,1,2
252,3,3,3,3,3,2,2,2
253,1,1,1,1,1,1,1,1
254,1,2,1,1,0,0,1,1
255,1,1,1,1,2,2,2,2
256,2,2,2,1,1,1,2,2
257,2,2,2,1,1,1,2,2
258,1,2,1,2,2,2,3,3
259,3,2,2,1,1,1,1,1
260,1,1,1,1,1,1,1,1
261,1,1,1,1,1,0,0,1
262,1,2,2,2,2,2,1,1
263,1,2,3,2,2,2,4,4
264,4,3,3,3,2,2,2,3
265,3,2,2,1,1,2,1,2
266,2,2,1,2,2,2,1,1
267,1,1,1,1,1,1,1,1
268,1,1,2,1,2,2,2,2
269,3,2,2,3,2,3,3,3
270,2,3,2,4,4,4,3,4
271,4,2,4,3,4,3,4,4
272,4,3,4,4,4,4,4,4
273,4,4,4,4,4,4,3,3
274,3,3,3,3,3,4,3,3
275,2,3,2,2,2,3,2,3
276,3,3,3,3,3,2,3,2
277,3,3,2,2,2,3,3,3
278,3,3,4,4,3,3,3,3
279,3,2,2,2,1,1,1,2
280,1,1,2,1,2,2,2,2
281,2,1,1,1,2,2,1,2
282,2,2,2,2,1,1,1,2
283,1,2,2,2,2,2,2,2
284,2,2,2,2,2,2,2,1
285,2,2,2,1,1,1,1,1
286,1,1,1,1,1,1,1,2
287,2,3,5,7,6,7,7,7
288,4,4,3,3,3,2,2,2
289,3,2,2,3,2,2,3,3
290,2,3,3,3,3,4,3,3
291,3,3,3,3,2,3,3,3
292,3,2,3,2,2,2,2,2
293,2,2,2,2,1,1,1,1
294,1,1,1,1,1,1,1,1
295,1,1,1,1,0,0,0,1
296,1,1,2,1,1,1,2,2
297,2,3,2,2,2,2,2,3
298,3,3,3,3,3,2,2,3
299,3,3,4,5,4,4,4,4
300,4,4,4,4,4,4,4,4
301,4,4,4,4,3,3,4,3
302,3,3,4,4,4,3,3,4
303,4,4,4,4,4,3,3,3
304,4,3,3,4,3,3,3,2
305,3,3,2,2,2,2,2,2
306,2,2,2,3,3,3,2,3
307,2,2,2,3,3,2,2,3
308,3,3,3,2,2,2,3,2
309,2,1,1,1,1,1,1,1
310,1,1,1,1,1,0,0,1
311,1,1,2,1,1,1,1,1
312,1,1,1,0,0,0,0,1
313,0,0,2,2,0,0,1,0
314,0,0,3,2,2,2,2,2
315,2,2,3,4,5,3,2,4
316,2,2,3,3,3,3,2,3
317,2,3,3,4,3,3,3,3
318,3,3,3,3,3,2,4,2
319,2,2,3,3,3,3,2,3
320,3,2,2,3,2,1,1,1
321,1,1,0,1,0,1,2,1
322,1,1,1,1,1,1,1,2
323,1,1,0,1,1,1,1,0
324,0,0,0,1,1,1,1,1
325,1,0,1,2,2,1,2,1
326,1,1,1,1,1,2,2,1
327,2,2,2,2,4,3,3,4
328,3,2,2,2,2,2,2,3
329,3,3,3,4,4,3,3,4
330,4,4,3,4,4,3,4,3
331,4,3,3,3,3,4,3,3
332,3,3,3,3,2,2,2,2
333,1,1,2,1,2,2,2,2
334,1,1,1,2,1,1,2,2
335,1,1,1,1,1,1,1,1
336,1,2,1,1,1,1,1,1
337,2,2,1,2,1,1,1,0
338,0,1,1,0,0,1,0,0
339,0,0,0,0,0,0,1,1
340,2,1,1,1,1,1,1,1
341,0,1,2,3,2,2,2,1
342,2,2,2,2,2,3,3,4
343,4,4,4,3,3,3,4,4
344,3,4,3,4,3,4,4,3
345,3,3,3,3,3,3,3,3
346,3,3,3,3,3,3,2,3
347,3,2,2,2,2,2,3,2
348,2,1,1,1,2,1,2,2
349,1,1,1,1,1,2,2,1
350,1,1,1,1,0,1,1,1
351,1,1,0,0,0,0,1,1
352,1,1,1,1,2,2,2,3
353,3,3,2,2,2,2,2,2
354,2,2,2,2,2,2,1,1
355,1,2,2,2,2,2,2,2
356,2,2,2,4,4,4,4,4
357,4,4,4,4,4,4,4,3
358,4,4,4,4,4,4,4,3
359,3,3,4,3,4,4,3,3
360,4,3,4,4,4,4,3,3
361,4,4,4,4,4,3,2,4
362,3,2,2,2,2,2,2,2
363,1,1,1,1,1,1,1,2
364,1,1,2,2,2,2,1,1
365,1,1,1,1,1,1,1,1
