,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
194,3,4,4,2,3,1,2,2
195,1,1,1,2,1,1,1,1
196,2,2,3,1,3,2,2,2
197,3,1,3,3,2,3,1,2
198,2,1,2,1,2,2,1,1
199,2,2,1,2,2,1,1,1
200,1,1,1,1,1,0,0,1
201,1,1,0,1,1,1,1,2
202,4,4,4,3,3,2,3,2
203,2,2,1,1,1,1,2,3
204,2,3,2,2,2,3,2,2
205,2,3,2,2,2,1,2,2
206,2,1,2,2,2,4,3,3
207,3,2,3,2,3,2,1,1
208,1,1,1,2,1,1,2,1
209,1,1,1,1,1,1,1,2
210,2,3,3,2,2,4,3,3
211,3,4,2,2,2,2,1,1
212,2,1,1,1,1,1,1,1
213,2,1,1,1,1,1,1,1
214,1,1,1,1,1,1,1,1
215,1,2,1,2,3,3,3,4
216,4,4,4,4,2,2,1,2
217,2,2,2,2,2,2,2,2
218,2,3,3,2,3,2,2,2
219,2,3,2,3,2,2,1,2
220,2,2,2,1,2,1,1,2
221,2,2,1,1,3,2,2,2
222,2,2,3,3,4,1,1,1
223,2,2,2,2,2,2,2,2
224,2,1,2,2,2,3,3,2
225,3,3,1,1,1,1,1,1
226,1,2,2,1,2,1,2,1
227,1,1,0,1,1,1,1,1
228,1,1,2,1,2,1,1,1
229,1,1,1,2,2,2,3,2
230,3,2,1,2,1,3,2,3
231,3,2,2,1,2,2,2,1
232,1,1,2,2,2,2,1,2
233,3,2,1,0,1,1,1,1
234,1,1,2,3,3,3,3,2
235,2,2,2,1,1,2,2,2
236,2,2,1,4,3,3,4,3
237,3,3,2,3,1,1,2,1
238,1,1,3,1,2,2,2,2
239,2,2,1,1,2,1,1,1
240,2,1,1,1,1,1,1,1
241,1,1,1,2,1,0,1,1
242,1,0,0,2,2,1,2,2
243,3,3,3,3,4,3,2,2
244,2,2,2,2,1,2,2,2
245,2,3,3,3,3,3,3,3
246,3,3,3,2,4,4,3,2
247,3,2,3,3,3,4,2,2
248,2,3,3,3,3,3,3,2
249,3,2,2,2,2,3,2,2
250,2,2,2,2,1,1,1,2
251,2,2,1,2,2,2,1,2
252,3,3,2,2,2,2,1,1
253,1,1,1,1,1,1,1,1
254,1,1,1,1,1,1,1,1
255,1,1,1,1,2,2,2,2
256,2,2,1,1,1,1,2,2
257,2,2,2,1,1,2,2,2
258,2,2,1,3,2,2,4,4
259,3,3,2,1,1,1,1,1
260,0,2,2,1,2,2,1,1
261,2,1,1,1,1,1,1,2
262,1,2,3,2,3,2,2,2
263,2,2,4,3,3,3,3,3
264,3,2,3,2,2,1,2,2
265,2,2,2,1,1,1,1,1
266,1,2,1,1,1,0,1,1
267,1,1,1,1,1,1,1,1
268,1,1,2,1,2,2,3,3
269,3,2,3,3,2,3,3,3
270,3,2,2,2,3,3,3,3
271,3,2,4,2,3,3,3,2
272,3,1,3,3,4,4,4,3
273,2,3,3,4,4,3,3,2
274,3,1,3,2,3,3,3,2
275,2,3,2,2,1,2,1,2
276,2,2,2,2,3,2,3,2
277,3,3,2,2,2,2,2,2
278,3,3,3,3,2,2,2,2
279,3,1,2,1,1,1,1,1
280,1,1,1,1,1,1,1,2
281,2,1,1,1,2,2,1,1
282,1,3,2,1,1,1,1,2
283,1,1,2,2,2,2,1,2
284,2,2,2,2,2,2,2,1
285,2,1,2,1,1,1,1,1
286,1,1,1,0,1,1,1,2
287,2,3,5,5,6,6,6,5
288,4,4,4,3,3,3,3,3
289,3,3,2,2,2,2,2,2
290,2,2,2,2,3,3,3,2
291,3,3,2,3,2,2,2,2
292,2,2,2,2,1,1,1,1
293,1,2,1,2,2,1,1,1
294,1,0,1,1,0,1,1,0
295,1,1,1,0,0,0,0,1
296,1,1,2,2,1,1,2,1
297,1,3,2,2,1,2,2,2
298,2,2,2,3,2,2,2,2
299,3,2,4,4,4,4,3,3
300,2,3,3,3,3,3,2,3
301,2,2,2,3,2,2,3,2
302,2,3,3,3,3,2,3,2
303,4,4,3,2,3,3,2,2
304,2,2,3,2,2,2,2,1
305,1,2,2,1,1,1,1,1
306,1,2,2,3,3,1,0,2
307,1,1,1,3,3,2,2,3
308,2,3,2,2,2,2,3,2
309,1,1,1,1,1,1,1,1
310,1,1,1,1,0,1,1,1
311,1,1,2,1,1,1,1,1
312,1,1,1,1,1,1,0,1
313,1,0,2,2,1,0,1,0
314,1,1,3,2,2,2,3,2
315,1,3,3,4,4,4,3,4
316,3,3,3,3,3,3,3,3
317,3,3,3,3,3,2,3,2
318,3,3,3,3,1,1,4,2
319,2,2,3,3,3,1,2,2
320,2,1,2,2,2,1,0,1
321,1,1,1,1,1,1,2,1
322,1,0,1,1,1,1,1,2
323,1,0,0,1,1,2,1,1
324,0,0,0,1,2,1,1,1
325,1,1,1,1,1,1,2,1
326,1,1,1,1,1,2,2,1
327,2,1,2,3,3,3,3,3
328,2,1,2,2,2,2,1,2
329,3,3,3,3,4,3,2,3
330,3,3,2,3,3,2,3,2
331,3,2,3,3,2,3,1,2
332,2,3,2,3,2,2,2,1
333,2,1,1,1,2,1,2,2
334,1,1,1,2,1,1,2,1
335,1,1,1,2,1,1,1,1
336,1,2,1,1,1,1,1,1
337,2,2,2,2,1,1,1,1
338,1,1,1,1,1,1,0,1
339,1,1,1,1,0,1,1,1
340,2,1,1,1,1,1,1,1
341,1,1,2,4,3,1,2,1
342,1,2,2,2,2,3,3,3
343,3,3,3,2,3,2,3,3
344,2,3,2,3,3,3,3,2
345,2,2,3,2,2,3,2,1
346,2,2,3,2,3,2,1,2
347,1,1,1,1,1,1,3,1
348,1,1,2,1,2,0,1,1
349,1,2,0,1,1,1,2,0
350,1,1,0,0,0,1,1,1
351,1,0,1,0,0,0,1,0
352,1,1,1,1,1,2,2,3
353,3,3,2,1,2,2,2,2
354,2,2,2,1,1,1,1,1
355,1,2,2,1,2,1,2,3
356,2,3,3,4,3,3,3,3
357,3,3,4,3,3,4,3,3
358,3,2,3,3,3,2,3,1
359,2,1,3,3,2,3,3,2
360,3,3,3,4,3,4,2,2
361,3,3,3,3,3,2,1,3
362,3,2,2,2,1,1,2,1
363,1,1,1,1,1,1,1,1
364,1,1,1,2,2,2,1,1
365,1,1,1,1,1,1,1,1
